DateOfStop	TimeOfStop	Violation	Location	Latitude	Longitude	Accident	Year	Make	Model
11/26/2025	18:08:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 69 MPH IN A POSTED 60 MPH ZONE	WB MD RT 200 @ MM 5.7	39.14951833	-77.23931833	No	2012	MAZD	HB
11/26/2025	18:05:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	W WATKINS MILL RD@ FOREST PRESERVE DR	39.15577733	-77.226271	No	2021	CHEVY	UT
11/26/2025	18:00:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	124/ RICKENBACHER	39.16988167	-77.15394667	No	2018	ALFA	SD
11/26/2025	17:58:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	W WATKINS MILL RD@ FOREST PRESERVE DR	39.1547435	-77.22852717	No	2018	JEEP	UT
11/26/2025	17:56:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	DANRESTOWN @ BLACKBERRY	0	0	No	2018	CHEVY	CRUZ
11/26/2025	17:50:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	W WATKINS MILL RD@ FOREST PRESERVE DR	39.15633333	-77.22547633	No	2014	NISS	4S
11/26/2025	17:47:00	RECKLESS DRIVING VEH.BY EXCEEDING POSTED SPEED LIMIT BY 30 MPH AND OVER)	S/B 270 X12 - X10	39.150088	-77.2183275	No	2026	TESL	UT
11/26/2025	17:47:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 84 MPH IN A POSTED 55 MPH ZONE	S/B 270 X12 - X10	39.150088	-77.2183275	No	2026	TESL	UT
11/26/2025	17:46:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	DANRESTOWN @ BLACKBERRY	0	0	No	2020	ACURA	ILX
11/26/2025	17:46:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	W GUDE DR@ GAITHER RD	39.15585617	-77.22612133	No	2016	TOYOTA	4DR
11/26/2025	17:45:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	124/ CLIFF PINE	39.17941167	-77.15043667	No	2003	TOYT	4S
11/26/2025	17:40:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	SHADY GROVE RD @ MIDCOUNTY HWY	39.13392	-77.15858833	No	2024	LUCID	AIR
11/26/2025	17:39:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ MAIN ST	0	0	No	2025	LEXUS	RX350
11/26/2025	17:39:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 91 MPH IN A POSTED 60 MPH ZONE	WB MD RT 200 @ LAYHILL RD	39.14951833	-77.23931833	No	2020	INFI	SD
11/26/2025	17:38:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	DARENSTOWN @ BLACKBERRY	0	0	No	2015	KIA	OPTIMA
11/26/2025	17:34:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	W WATKINS MILL RD@ FOREST PRESERVE DR	39.1553335	-77.22743367	No	2016	TOYT	UT
11/26/2025	17:24:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 69 MPH IN A POSTED 60 MPH ZONE	EB MD RT 200 @ MM 10.5	39.14951833	-77.23931833	No	2024	LEXS	UT
11/26/2025	17:21:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 56 MPH IN A POSTED 35 MPH ZONE	124/ RICKENBACHER	39.16865833	-77.154785	No	2019	FORD	PK
11/26/2025	17:13:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	CONNECTICUT AVE / VEIRS MILL ROAD	39.04813917	-77.075689	No	2024	FORD	UT
11/26/2025	17:09:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	124/ CLIFF PINE	39.17941167	-77.15052	No	2020	TESLA	2D
11/26/2025	17:04:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 69 MPH IN A POSTED 60 MPH ZONE	EB MD RT 200 @ MM 8.7	39.14951833	-77.23931833	No	2008	HONDA	PILOT
11/26/2025	17:01:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	124/ RICKENBACHER	39.17081833	-77.15355833	No	2023	MITS	UT
11/26/2025	16:52:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	28/ALDERWOOD DR	39.10950317	-77.23738267	No	2007	TOYOTA	FJ
11/26/2025	16:51:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	124/ RICKENBACHER	39.172495	-77.15282167	No	2004	TOYT	SD
11/26/2025	16:45:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 96 MPH IN A POSTED 55 MPH ZONE	EB MD RT 200 @ MM 3.0	39.14951833	-77.23931833	No	2007	TOYT	COROLLA
11/26/2025	16:44:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	124/ CLIFF PINE	39.17984333	-77.15052167	No	2009	NISS	4S
11/26/2025	16:39:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ AMERICAN WAY	39.106775	-77.2343	No	2010	TOYOTA	CAMRY
11/26/2025	16:36:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	28/ALDERWOOD DR	39.10887017	-77.2375365	No	2025	LEXUS	TX350
11/26/2025	16:34:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 85 MPH IN A POSTED 55 MPH ZONE	EB MD RT 200 @ MM 3.0	39.14951833	-77.23931833	No	2019	FORD	TRANSIT
11/26/2025	16:33:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RT 28 @ ALDERWOOD DR	39.10278233	-77.22129767	No	2012	HONDA	CIVIC
11/26/2025	16:33:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	124/ RICKENBACHER	39.17111833	-77.15323667	No	2017	HYUN	4S
11/26/2025	16:30:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ AMERICAN WAY	39.10684833	-77.2343	No	2020	HONDA	CIVIC
11/26/2025	16:26:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RT 28 @ ALDERWOOD DR	39.106716	-77.234427	No	2016	CHEVY	VOLT
11/26/2025	16:23:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	28/ALDERWOOD DR	39.10957917	-77.23754367	No	2004	TOYOTA	CAMRY
11/26/2025	16:20:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RT 28 @ ALDERWOOD DR	39.10675467	-77.234419	No	2024	TESLA	Y
11/26/2025	16:20:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ AMERICAN WAY	39.1066	-77.23440667	No	1998	CHEV	CP
