DateOfStop	TimeOfStop	Violation	Location	Latitude	Longitude	Accident	Year	Make	Model
11/26/2025	6:55:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	5500 BLOCK MASSASCHUSSETS AVE	0	0	No	2077	TOYOTA	CAMRY
11/26/2025	6:50:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	DARNESTOWN RD @ AMERICAN WAY	39.10323667	-77.22559833	No	2015	GMC	YUKON
11/26/2025	6:46:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	5500 BLOCK MASSASCHUSSETS AVE	0	0	No	2021	FORD	F150
11/26/2025	6:43:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	MASSACHUSETTS AVE @ NEWPORT AVE	38.955285	-77.10498167	No	2024	VOLK	SD
11/26/2025	6:40:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5500 BLOCK MASSASCHUSSETS AVE	0	0	No	2021	KIA	K3
11/26/2025	6:36:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.07370667	-77.00712	No	2003	FORD	F250
11/26/2025	6:34:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	OLNEY LAYTONSVILLE RD AND BOWIE MILL RD	39.1541205	-77.06853417	No	2019	PTRB	ST
11/26/2025	6:32:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	DARNESTOWN RD @ BLACKBERRY DR	39.115405	-77.245715	No	2016	KIA	SOUL
11/26/2025	6:26:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.07173333	-77.01078667	No	2015	NISS	UT
11/26/2025	6:24:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ KEMP MILL RD	39.06616817	-77.034203	No	2003	TOYOTA	CAMRY
11/26/2025	6:19:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.07184167	-77.01050667	No	2021	TOYT	UT
11/26/2025	6:14:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ KEMP MILL RD	39.0665805	-77.02959233	No	2013	ACURA	SD
11/26/2025	5:55:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 53/35	CONNECTICUT/INDEPENDANCE	39.07220983	-77.07729733	No	2021	HOND	SD
11/26/2025	1:20:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	MUDDY BRANCH @ DARNSTOWN	39.10290856	-77.22053987	No	2008	NISSAN	ALTIMA
11/25/2025	23:20:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 76 MPH IN A POSTED 50 MPH ZONE	GREAT SENECA HWY AT HIGH GABLES DR	0	0	No	2008	MERC	MARINER
11/25/2025	22:24:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	OLD COLUMBIA PIKE @ EDFINN ROAD	0	0	No	2016	CHEVROLET	MALIBU
11/25/2025	22:24:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED	OLD COLUMBIA PIKE @ EDFINN ROAD	0	0	No	2016	CHEVROLET	MALIBU
11/25/2025	21:14:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	SHADY GROVE RD/270 OVERPASS	39.10909883	-77.188213	No	2011	TOYT	UT
11/25/2025	20:54:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	21101 WHITES FERRY ROAD	0	0	No	2017	TOYOTA	HIGHLANDER
11/25/2025	18:08:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	RANDOLPH RD / KEMP MILL RD	39.06604833	-77.03388	No	2005	TOYOTA	COROLLA
11/25/2025	17:35:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	12602 GRANITE ROCK RD	39.23925358	-77.26159034	No	2010	HONDA	ELEMENT
11/25/2025	17:20:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	GEORGIA AVE @ REEDIE DR	39.03935383	-77.05081917	No	2015	DODGE	GRAND CARAVAN
11/25/2025	17:04:00	FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION	WOOTTON PARKWAY/FALLS RD	39.06892017	-77.16902283	No	2013	TOYOTA	PRIUS
11/25/2025	16:14:00	EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH	200 @ GEORGIA AVE	39.08667167	-77.025671	No	2019	JEEP	SUV
11/25/2025	15:52:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	12613 WISTERIA DR	39.17025829	-77.2619538	No	2012	TOYOTA	COROLLA
11/25/2025	15:49:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	RAMP FROM IL 495/ E UNIV BLVD EB	39.0135805	-77.00388333	No	2008	HONDA	CR-V
11/25/2025	15:14:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 51 MPH IN A POSTED 30 MPH ZONE	5600 MASSACHUSETTS AVE	38.958619	-77.11075233	No	2025	KIA	SPORTAGE
11/25/2025	12:25:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 100 MPH IN A POSTED 55 MPH ZONE	N/B 270 @ MONTROSE	0	0	No	2022	LEXUS	ES 300
11/25/2025	11:53:00	EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH	200@ 6.6M	39.12636917	-77.10264567	No	2021	BMW	SD
11/25/2025	11:45:00	EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH	200@ 10.3MM	39.10076817	-77.0443745	No	2024	TOYT	SD
11/25/2025	11:44:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE SB/ SHAW AVE	39.0677335	-77.00222417	No	2021	AUDI	A4
11/25/2025	11:32:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12400 BLK NEW HAMPSHIRE AVE	39.06607333	-77.00049683	No	2022	TOYT	SD
11/25/2025	11:27:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE	NEW HAMPSHIRE AVE / SHAW AVE	39.066035	-77.00078	No	2020	BMW	X5
11/25/2025	11:19:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12400 BLK NEW HAMPSHIRE AVE	39.06929483	-77.00305583	No	2016	HONDA	UT
11/25/2025	11:19:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	RANDOLPH RD @ BLUHILL RD	39.19657333	-77.327075	No	2018	BMW	M4
11/25/2025	11:09:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ HAMMONTON PL	0	0	No	2012	LEXUS	RX450
11/25/2025	11:08:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.06786667	-77.00228167	No	2017	MERZ	CP
11/25/2025	10:59:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12400 BLK NEW HAMPSHIRE AVE	39.05837133	-76.997459	No	2022	RAM	PK
11/25/2025	10:55:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	RANDOLPH RD @ HAMMONTON PL	0	0	No	2017	FORD	EXPLORER
11/25/2025	10:54:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.06643333	-77.00139333	No	2017	HYUN	ELANTRA
11/25/2025	10:48:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12400 BLK NEW HAMPSHIRE AVE	39.05665017	-76.997454	No	2015	RAM	VN
11/25/2025	10:38:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ SHERWOOD FOREST DR	0	0	No	2014	DODGE	DURANGO
11/25/2025	10:34:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLH RD @ HAMMONTON DR	39.07906	-77.00545667	No	2009	HONDA	PILOT
11/25/2025	10:29:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	NEW HAMPSHIRE AVE / SHAW AVE	39.06715333	-77.00171167	No	2021	MERZ	UT
11/25/2025	10:21:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	RT 108 @ HAWKINS CREAMERY RD	39.24646017	-77.14530933	No	2025	FORD	WBRANCO
11/25/2025	10:14:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12400 BLK NEW HAMPSHIRE AVE	39.05857367	-76.99800567	No	2013	TOYT	4S
11/25/2025	10:08:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 71MPH	DEMOCRACY BLVD @ FERNWOOD RD	39.02072833	-77.13506667	No	2024	MERZ	GLE
11/25/2025	10:05:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE AVE@ VITAL WAY	39.07486167	-77.00203483	No	2023	LEXS	SD
11/25/2025	10:00:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 50 MPH IN A POSTED 30 MPH ZONE	21720 LAYTONSVILLE RD	39.21325833	-77.1426415	No	2025	FORD	F150 RAPTOR
11/25/2025	9:34:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12000 BLK NEW HAMPSHIRE AVE	39.05545633	-76.9945885	No	2012	HONDA	ACCORD
11/25/2025	9:26:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	12000 BLK NEW HAMPSHIRE AVE	39.05295933	-76.99396783	No	2015	HONDA	4DR
11/25/2025	9:12:00	EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH	NEW HAMPSHIRE AVE@ NOTLEY RD	39.0782375	-77.00172333	No	2025	HYUNDAI	UT
11/25/2025	9:00:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE / TANLEY NB	39.05585	-76.99604833	No	2024	HYUNDAI	ELANTR
11/25/2025	8:29:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE / TANLEY NB	39.05312333	-76.99394667	No	2009	HOND	2S
11/25/2025	8:28:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	GREAT SENECA HWY / GROTTO LN	39.16698217	-77.27086083	No	2021	HOND	PILOT
11/25/2025	8:26:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5601 MASSACHUSETTS AVE	38.95875167	-77.10904167	No	2021	JEEP	UT
11/25/2025	8:19:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	GREAT SENECA HWY / GROTTO LN	39.16874667	-77.26831567	No	2020	NISSAN	SENTRA
11/25/2025	8:18:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE / TANLEY NB	39.05419833	-76.99467	No	2025	CHEV	UT
11/25/2025	8:18:00	EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH	124 / AIRPARK	0	0	No	2026	JEEP	CHEROKEE
11/25/2025	8:11:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	MD 200 @ REDLAND RD	39.13712067	-77.16285233	No	2023	ACURA	4DR
11/25/2025	8:06:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE / TANLEY NB	39.05694667	-76.99647833	No	2019	TOYOTA	CAMRY
11/25/2025	8:01:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 87 MPH IN A POSTED 60 MPH ZONE	MD 200 WB @ MUNCASTER MILL RD	39.12690733	-77.1146335	No	2017	CHEVROLET	VAN
11/25/2025	7:50:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE / TANLEY NB	39.05493167	-76.99505667	No	2024	LEXUS	RX500H
11/25/2025	7:46:00	EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH	MD 200 WB @ LAYHILL RD	39.10794167	-77.0548525	No	2022	HYUNDAI	TUCSON
11/25/2025	7:46:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5601 MASSACHUSETTS AVE	38.95869167	-77.11096833	No	2023	BMW	UT
11/25/2025	7:45:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	NEW HAMPSHIRE / TANLEY NB	39.05369	-76.99422167	No	2001	HOND	4S
11/25/2025	7:39:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	MONTROSE RD @ 270	39.05619167	-77.15179833	No	2024	KIA	EV
11/25/2025	7:37:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5601 MASSACHUSETTS AVE	38.95799667	-77.109765	No	2021	BMW	SD
11/25/2025	7:32:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5601 MASSACHUSETTS AVE	38.95899333	-77.10886167	No	2025	HOND	UT
11/25/2025	7:32:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	MONTROSE RD @ 270	39.05619167	-77.15179833	No	2009	HONDA	CIVIC
11/25/2025	7:25:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	5601 MASSACHUSETTS AVE	38.95870667	-77.11086667	No	2015	HONDA	CIVIC
11/25/2025	7:24:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 52 MPH IN A POSTED 35 MPH ZONE	GREAT SENECA HWY / GROTTO LN	39.166371	-77.27155683	No	2017	JEEP	PATRIOT
11/25/2025	7:23:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	MONTROSE RD @ 270	39.05606333	-77.15187333	No	2017	PORS	UT
11/25/2025	7:11:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 60	DARNESTOWN RD / MAIN ST	39.115681	-77.24589467	No	2020	CHEVROLET	EQUINOX
11/25/2025	7:09:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5601 MASSACHUSETTS AVE	38.95784833	-77.110335	No	2014	INFINITI	Q50
11/25/2025	7:09:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	1471 ROCKVILLE PIKE	39.063395	-77.12555833	No	2008	PORS	CAYENNE
11/25/2025	7:03:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	1319 ROCKVILLE PIKE	39.06547	-77.12716167	No	2017	TOYOTA	RAV 4
11/25/2025	7:03:00	EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH	EB MD 200 @ NEW HAMPSHIRE AVE	39.0883575	-76.98228583	No	2025	HONDA	ACCORD
11/25/2025	6:57:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	5601 MASSACHUSETTS AVE	38.95843167	-77.110325	No	2023	RIVA	UT
11/25/2025	6:54:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	EB MD 200 @ NEW HAMPSHIRE AVE	39.08912783	-77.00251367	No	2015	DODGE	DURANGO
11/25/2025	6:52:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	MASSACHUSETTS AVE @ BROOKEWAY DR	38.95842333	-77.11039	No	2014	ACUR	SW
11/25/2025	6:51:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE	1100 BLCK ROCKVILLE PIKE	39.07392833	-77.13513833	No	2013	NISSAN	ALTIMA
11/25/2025	6:45:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	MD 200 EB @ NOTLEY RD	39.08663283	-77.0134915	No	2014	INFINITI	Q50
11/25/2025	6:43:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	MASSACHUSETTS AVE @ BROOKEWAY DR	38.958345	-77.10999667	No	2025	VOLV	UT
11/25/2025	6:42:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 52/35	1390 ROCKVILLE PIKE	39.07012	-77.13111	No	2016	LNDR	RANGE ROVER
11/25/2025	6:33:00	EXCEEDING THE POSTED SPEED LIMIT OF 60 MPH	EB MD 200 @ GEORGIA AVE	39.12096283	-77.08340767	No	2025	HONDA	CIVIC
11/25/2025	6:31:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	1470 ROCKVILLE PIKE	39.06869333	-77.129695	No	2007	BMW	525
11/25/2025	6:24:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	1471 ROCKVILLE PIKE	39.06316667	-77.12512667	No	2011	TOYOTA	RAV 4
11/25/2025	6:15:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	1319 ROCKVILLE PIKE	39.06409667	-77.12661667	No	2024	BUICK	UT
11/25/2025	6:08:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	5600 BLOCK MASS AVE	0	0	No	2022	CHEVY	SUBURBAN
11/25/2025	5:58:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH RD @ KEMP MILL RD	39.06966867	-77.01397517	No	2021	TOYOTA	CAMRY
11/25/2025	5:24:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	MD 355 @ GUDE DR	39.1069845	-77.15893867	No	2018	HOND	SD
11/25/2025	4:14:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 69 MPH IN A POSTED 60 MPH ZONE	MD 200 FROM GA AVE TO NH AVE	39.087698	-77.00973517	No	2012	HONDA	CIVIC
11/25/2025	4:06:00	EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH	MD 355 @ GUDE DR	39.1068665	-77.1584905	No	2010	HYUN	4S
11/25/2025	3:51:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50	GEORGIA AVE / PLYERS MILL RD	39.02449817	-77.04582283	No	2014	NISSAN	SENTRA
11/25/2025	2:57:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 50 MPH IN A POSTED 35 MPH ZONE	VEIRS MILL RD/ DALEWOOD DR	0	0	No	2006	MAZDA	3
11/24/2025	23:13:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50 PLUS	ROCKVILLE PIKE AND KING CHARLES WAY	39.02049117	-77.10322817	No	1998	BMW	SD
11/24/2025	23:05:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50/35	CONNECTICUT/BRIGHTVIEW ST	39.054682	-77.074267	No	2018	HONDA	ACCORD
11/24/2025	22:41:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	95 E200 RAMP	39.115166	-77.07442917	No	2014	TOYOTA	CAMRY
11/24/2025	22:14:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	EDSON LN ON S/B ROCKVILLE PIKE	39.040669	-77.10980617	No	2020	CHEV	UT
11/24/2025	21:46:00	RECKLESS DRIVING VEH. BY EXCEEDING POSTED SPEED LIMIT BY 30 MPH AND OVER	RIDGE RD. AT BRINK RD.	39.20963133	-77.240305	No	2015	CHEVROLET	SILVERADO
11/24/2025	21:46:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 74 MPH IN A POSTED 40 MPH ZONE	RIDGE RD. AT BRINK RD.	39.20963133	-77.240305	No	2015	CHEVROLET	SILVERADO
11/24/2025	21:41:00	DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY	ROCKVILLE PIKE AT OLD GEORGETOWN RD	39.04928783	-77.1170625	No	2018	BMW	328
11/24/2025	21:35:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	PINEY BRANCH/CARROL AVE	0	0	No	2016	CHEVY	CORVETTE
11/24/2025	21:19:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	TRAVILAH RD AT PINEY MEETINGHOUSE RD	39.08635533	-77.2189875	No	2015	LINCON	MKX
11/24/2025	21:17:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	CONNECTICUT AVE / WELLER ROAD	39.062222	-77.07346383	No	2013	NISSAN	ALTIMA
11/24/2025	20:49:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	GREAT SENECA HWY @ DECOVERLY DR	0	0	No	2022	MAZD	UT
11/24/2025	20:43:00	DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY	GREAT SENECA HWY @ KENTLANDS BLVD	0	0	No	2008	TOYT	VN
11/24/2025	20:38:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	ROCKVILLE PIKE SB ATI-495	0	0	No	2021	KIA	K5
11/24/2025	19:55:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	SB MUNCASTER MILL RD @ REDLAND ROAD	39.14376583	-77.14150017	No	2014	INFINITY	QX70 4DR
11/24/2025	17:43:00	EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH	WOODFIELD RD @ BRENISH DR	39.17069967	-77.15365983	No	2017	FORD	4S
11/24/2025	17:43:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	WIGHTMAN RD @ GOSHEN RD	0	0	No	2009	NISSAN	ALTIMA
11/24/2025	17:18:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE	WOODFIELD RD @ BRENISH DR	39.17318467	-77.15234483	No	2024	HOND	SD
11/24/2025	17:15:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	DANRESTOWN @ BLACKBERRY	0	0	No	2016	SUBARU	OUTBACK
11/24/2025	17:07:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE	WOODFIELD RD @ BRENISH DR	39.17182617	-77.1530355	No	2023	BMW	SUV
11/24/2025	16:57:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	21800 BEALLSVILLE RD	39.21040333	-77.38140967	No	2019	CHEVY	PU
11/24/2025	16:55:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	DANRESTOWN @ BLACKBERRY	0	0	No	2020	MAZDA	CX-5
11/24/2025	16:51:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE	WOODFIELD RD @ BRENISH DR	39.17280117	-77.15252717	No	2022	TOYT	UT
11/24/2025	16:40:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE	WOODFIELD RD @ BRENISH DR	39.17047033	-77.153631	No	2022	KIA	4S
11/24/2025	16:39:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH ROAD/KEMP MILL ROAD	39.06664517	-77.03080083	No	2025	BMW	550E
11/24/2025	16:38:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	WOODFIELD RD/SNOUFFER SCHOOL RD	39.15818333	-77.16180417	Yes	2015	TOYOTA	RAV4
11/24/2025	16:30:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 44 MPH IN A POSTED 35 MPH ZONE	WOODFIELD RD @ BRENISH DR	39.17315883	-77.15236117	No	2017	TESL	HB
11/24/2025	16:27:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH ROAD/KEMP MILL ROAD	39.06668917	-77.03469383	No	2022	AUDI	QUATTRA
11/24/2025	16:18:00	FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION	40 BLOCK OF W WATKINS RD	39.1520245	-77.23147317	Yes	2000	TOYOTA	CAMRY
11/24/2025	16:15:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH ROAD/KEMP MILL ROAD	39.06269717	-77.0418835	No	2015	SUBA	FORRESTER
11/24/2025	16:05:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	21800 BEALLSVILLE RD	39.21050033	-77.381478	No	2020	ACURA	4D
11/24/2025	16:05:00	EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH	RANDOLPH ROAD/KEMP MILL ROAD	39.066405	-77.032408	No	2022	LEXUS	NX350
11/24/2025	15:57:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 49 MPH IN A POSTED 40 MPH ZONE	RANDOLPH ROAD/KEMP MILL ROAD	39.06547417	-77.03019033	No	2014	RAM	PK
11/24/2025	15:52:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	21800 BEALLSVILLE RD	39.21039133	-77.38137733	No	2024	TESL	UT
11/24/2025	15:47:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	PINEY MEETINGHOUSE RD @ BIG PINEY WAY	39.04074667	-77.23427833	No	2025	TOYOTA	COROLLA
11/24/2025	15:41:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 39 MPH IN A POSTED 30 MPH ZONE	PINEY MEETINGHOUSE RD @ BIG PINEY WAY	39.04069167	-77.23434667	No	2015	TOYOTA	TACOMA
11/24/2025	15:36:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	PINEY MEETINGHOUSE RD @ BIG PINEY WAY	39.04066	-77.23454333	No	2025	LNDR	RANGE ROVER
11/24/2025	15:31:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	PINEY MEETINGHOUSE RD @ BIG PINEY WAY	39.04069667	-77.23438833	No	2015	TOYOTA	SIENNA
11/24/2025	15:30:00	FAILURE TO CONTROL VEH. SPEED ON HWY. TO AVOID COLLISION	VEIRS MILL RD/GALT AVE	39.0415975	-77.058355	No	2019	FORD	TRANSIT 250
11/24/2025	15:09:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	10011 GLEN RD	39.04678833	-77.206985	No	2019	MERZ	AMG
11/24/2025	15:07:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	21800 BEALLSVILLE RD	39.21045717	-77.38139233	No	2022	HOND	UT
11/24/2025	15:02:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	GLEN RD @ CLAGETT FARM DR	39.04702	-77.20128667	No	2021	LINC	UT
11/24/2025	14:53:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	GLEN RD @ AMBLESIDE DR	39.04695667	-77.19874	No	2019	CHEVEROLT	SUBURBAN
11/24/2025	14:46:00	EXCEEDING POSTED MAXIMUM SPEED LIMIT: 62 MPH IN A POSTED 35 MPH ZONE	355 / SOUTH DR.	39.00370833	-77.09726383	No	2016	JAGU	SD
11/24/2025	14:46:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	GLEN RD @ AMBLESIDE DR	39.046995	-77.19878167	No	2002	NISSAN	PATHFINDER
11/24/2025	14:41:00	EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH	GLEN RD @ AMBLESIDE DR	39.046995	-77.1988	No	2018	SUBARU	FORESTER
11/24/2025	14:16:00	FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION	25730 WOODFIELD RD	39.2797995	-77.203194	No	2022	TOYOTA	CAMRY
